a'ngunc	ອະຫງຸ່ນ
Se^an^ti^en	ເຊ^ອັນ^ທິ^ເອນ
Se^mbaa^ni^yaa	ເຊ^ບາ^ນິ^ຢາ
Se^faa^ti^yaa	ເຊ^ຟາ^ທິ^ຢາ
Se^haa^li^yaa	ເຊ^ຫະ^ລິ^ຢາ
Se^kaa^ni^yaa	ເຊ^ຄາ^ນິ^ຢາ
Se^le^mi^yaa	ເຊ^ເລ^ມິ^ຢາ
Se^lu^mi^en	ເຊ^ລູ^ມິ^ເອນ
Se^maa^li^yaa	ເຊ^ມາ^ລິ^ຢາ
Se^mi^ndaa	ເຊ^ມິ^ດາ
Se^mi^laa^motv	ເຊ^ມິ^ລາ^ໂມດ
Se^mi^nitv	ເຊ^ມິ^ນິດ
Se^mbaa^ndi^yaa	ເສ^ບາ^ດິ^ຢາ
Se^mbi^ndaa	ເສ^ບີ^ດາ
Se^mbi^naa	ເສ^ບິ^ນາ
Se^kaa^kaa	ເສ^ຄະ^ຄາ
Se^kaa^li^yaa	ເສ^ຄາ^ລິ^ຢາ
Se^laa^hi^yaa	ເສ^ລາ^ຫິ^ຢາ
Se^lu^waa	ເສ^ລຸ^ວາ
Se^lu^yaa	ເສ^ລຸ^ຢາ
Selukv	ເສ^ລຸກ
Se^maa^ki^yaa	ເສ^ມາ^ຄິ^ຢາ
Se^mi^laa	ເສ^ມິ^ລາ
Siaa	ສິ^ອາ
Si^mbaa	ຊິ^ບາ
Si^mbe^on	ສິ^ເບ^ໂອນ
Si^mbi^yaa	ສິ^ບີ^ຢາ
Si^mbie	ສິ^ເບຍ
Si^e^ne	ສິ^ເອ^ເນ
Sifaa	ສິ^ຟາ
Sifi	ຊິ^ຟີ
Si^fi^yon	ສິ^ຟິ^ໂຢນ
Sifon	ສິ^ໂຟນ
Si^hox	ຊິ^ໂຫ
Sihox Lipv^naatv	ຊິ^ໂຫ^ລິບ^ນາດ
Si^honx	ສິ^ໂຫນ
Sikaa	ສິ^ຄາ
Si^gi^o^notv	ຊິ^ກິ^ໂອ^ໂນດ
Si^lie^fi^ni^sie	ຊີ^ເລຍ^ຟີ^ນິ^ເຊຍ
Si^me^aa	ຊິ^ເມ^ອາ
Si^me^am	ຊິ^ເມ^ອຳ
Si^me^atc	ຊິ^ເມ^ອັດ
Si^me^Iaa	ຊິ^ເມ^ລາ
Si^me^on	ສິ^ເມ^ໂອນ
Si^on	ສິ^ໂອນ
Si^saa^aa	ສິ^ຊາ^ອາ
Si^saa^mai	ສິ^ສະ^ໄມ
Sisakv	ຊິ^ຊັກ
Si^se^laa	ສິ^ເສ^ລາ
Si^si^li	ຊີ^ຊິ^ລີ
Sitie	ສິ^ເທຍ
Siwan	ສິ^ວັນ
Siyo	ສິ^ໂຢ
Sikc^laakv	ສິກ^ລາກ
Sikc^li	ສິກ^ລີ
Sikv^gaa^yon	ຊິກ^ກາ^ໂຢນ
Sikv^ke^lon	ຊິກ^ເຄ^ໂລນ
Sin^hi	ຊິນ^ຫິ
Sinx^ti^ke	ສິນ^ທິ^ເຄ
So^saa^te^netv	ໂສ^ສະ^ເທ^ເນດ
So^si^baa^te	ໂສ^ສິ^ປາ^ເທ
Su^aa	ສຸ^ອາ
Sufaa	ສຸ^ຟາ
Sukaa	ສຸ^ຄາ
Su^ki^im	ສຸ^ຄີ^ອິມ
Susaax	ສຸ^ສາ
Su^sanx^naa	ສຸ^ສັນ^ນາ
Susi	ສຸ^ສີ
Sux^li^en	ສູ^ລິ^ເອນ
Sux^li^satv^ndai	ສູ^ລິ^ຊັດ^ໄດ
Sukc^kotv	ສຸກ^ໂຄດ
Sukc^kotv^mbe^notv	ສຸກ^ໂຄດ^ເບ^ໂນດ
Supc	ສູບ
Taa^aa^natv Silo	ທາ^ອາ^ນັດ^ຊິ^ໂລ
Taa^mbi^taa	ທາ^ບິ^ທາ
Daa^ko^ni^ditc	ຕາ^ໂຄ^ນິ^ຕິດ
Taa^laa^laa	ທາ^ລະ^ລາ
Taa^li^taa^ku^mi	ທາ^ລິ^ທາ^ຄູ^ມິ
Tailaqv	ໄທ^ລະ
Tan^hu^metv	ທັນ^ຫຸ^ເມດ
Te^mbaa^li^yaa	ເທ^ບາ^ລິ^ຢາ
Te^saa^lo^ni^gaa	ເທ^ສະ^ໂລ^ນິ^ກາ
Te^ti^atc	ເທ^ທິ^ອັດ
Ti^mbe^li^atc	ທິ^ເບ^ລິ^ອັດ
Ti^mbe^lietv	ທິ^ເບ^ລຽດ
